,daily.returns,daily.returns o,1+r,1+r O,cumulative returns,cumulative returnsO,
199,0.025251715,0.028884484,1.025251715,1.028884484,53%,52%,
200,0.001785486,0.001474067,1.001785486,1.001474067,53%,52%,
201,-0.006374023,-0.004767966,0.993625977,0.995232034,52%,51%,
202,-0.003416828,-0.002932573,0.996583172,0.997067427,52%,51%,
203,0.016455369,0.023602189,1.016455369,1.023602189,54%,55%,
204,0.011594624,0.010548922,1.011594624,1.010548922,56%,56%,
205,-0.024287717,-0.028065627,0.975712283,0.971934373,52%,52%,
206,0.008056908,0.007239845,1.008056908,1.007239845,54%,53%,
207,-0.00449716,-0.005246559,0.99550284,0.994753441,53%,52%,
208,-0.015731961,-0.014604049,0.984268039,0.985395951,50%,50%,
209,-0.030183828,-0.037319858,0.969816172,0.962680142,46%,44%,
210,0.000845001,0.000537556,1.000845001,1.000537556,46%,44%,
211,-0.008558769,-0.006345441,0.991441231,0.993654559,45%,43%,
212,0.023832121,0.021664061,1.023832121,1.021664061,48%,47%,
213,-0.000608412,0.001444965,0.999391588,1.001444965,48%,47%,
214,0.008449901,0.007517976,1.008449901,1.007517976,49%,48%,
215,-0.014965013,-0.016394562,0.985034987,0.983605438,47%,45%,
216,0.036662324,0.032767923,1.036662324,1.032767923,53%,50%,
217,0.015262715,0.016722024,1.015262715,1.016722024,55%,53%,
218,-0.001906871,-0.00205601,0.998093129,0.99794399,55%,52%,
219,-0.006682049,-0.005479094,0.993317951,0.994520906,54%,52%,
220,-0.010442204,-0.009382322,0.989557796,0.990617678,52%,50%,
221,0.009999746,0.011472156,1.009999746,1.011472156,53%,52%,
222,0.011901306,0.01090015,1.011901306,1.01090015,55%,54%,
223,0.006254307,0.005672354,1.006254307,1.005672354,56%,54%,
224,0.00944137,0.008673285,1.00944137,1.008673285,58%,56%,
225,-0.016647613,-0.016821813,0.983352387,0.983178187,55%,53%,
226,0.007096678,0.006477151,1.007096678,1.006477151,56%,54%,
227,0.029241122,0.029205559,1.029241122,1.029205559,61%,59%,
228,0.002735385,0.00242132,1.002735385,1.00242132,61%,59%,
229,0.005876573,0.007415041,1.005876573,1.007415041,62%,60%,
230,0.0058814,0.005326462,1.0058814,1.005326462,63%,61%,
231,0.016345239,0.018251001,1.016345239,1.018251001,66%,64%,
232,0.001356566,0.001462578,1.001356566,1.001462578,66%,64%,
233,0.000176007,0.001740952,1.000176007,1.001740952,66%,65%,
234,0.002539571,0.002134017,1.002539571,1.002134017,66%,65%,
235,-0.008640696,-0.010470808,0.991359304,0.989529192,65%,63%,
236,0.006803278,0.006120617,1.006803278,1.006120617,66%,64%,
237,-0.006472854,-0.007283471,0.993527146,0.992716529,65%,63%,
238,0.001341362,0.00136694,1.001341362,1.00136694,65%,63%,
239,0.01085339,0.0110255,1.01085339,1.0110255,67%,65%,
240,0.004194465,0.00394234,1.004194465,1.00394234,68%,66%,
241,0.011259671,0.013096598,1.011259671,1.013096598,70%,68%,
242,-0.042334532,-0.038254852,0.957665468,0.961745148,62%,61%,
243,0.018670149,0.021470962,1.018670149,1.021470962,66%,65%,
244,0.012491437,0.011286177,1.012491437,1.011286177,68%,67%,
245,0.004008739,0.003452088,1.004008739,1.003452088,68%,67%,
246,0.022334081,0.019850298,1.022334081,1.019850298,72%,71%,
247,-0.003624104,-0.004844533,0.996375896,0.995155467,71%,70%,
