,daily.returns O,daily.returns,,1+r ,1+r O,cumulative returns,cumulative returns O,
117,-0.004895883,-0.011077417,,0.988922583,0.995104117,-11.11%,-6.21%,
118,-0.009665621,-0.006956225,,0.993043775,0.990334379,-11.73%,-7.11%,
119,0.013030122,0.020295415,,1.020295415,1.013030122,-9.94%,-5.90%,
120,-0.002391992,-0.002135711,,0.997864289,0.997608008,-10.13%,-6.13%,
121,-0.006464956,-0.009733052,,0.990266948,0.993535044,-11.01%,-6.73%,
122,0.034366512,0.024949068,,1.024949068,1.034366512,-8.79%,-3.53%,
123,0.00941485,0.012984619,,1.012984619,1.00941485,-7.60%,-2.62%,
124,0.004400448,0.003403987,,1.003403987,1.004400448,-7.29%,-2.19%,
125,0.018846541,0.028362647,,1.028362647,1.018846541,-4.66%,-0.35%,
126,0.014871161,0.009966974,,1.009966974,1.014871161,-3.71%,1.13%,
127,-0.012636498,-0.015811532,,0.984188468,0.987363502,-5.23%,-0.15%,
128,0.017292057,0.012575058,,1.012575058,1.017292057,-4.04%,1.58%,
129,0.001952253,0.001441709,,1.001441709,1.001952253,-3.90%,1.78%,
130,0.000775811,0.000736883,,1.000736883,1.000775811,-3.83%,1.86%,
131,-0.015176766,-0.021166385,,0.978833615,0.984823234,-5.87%,0.31%,
132,-0.00905658,-0.005725247,,0.994274753,0.99094342,-6.40%,-0.60%,
133,0.002967534,0.005075135,,1.005075135,1.002967534,-5.93%,-0.30%,
134,0.023244992,0.018133194,,1.018133194,1.023244992,-4.22%,2.02%,
135,0.013240003,0.019787358,,1.019787358,1.013240003,-2.33%,3.37%,
136,0.002806748,0.001149566,,1.001149566,1.002806748,-2.22%,3.66%,
137,-0.001037751,-0.004026034,,0.995973966,0.998962249,-2.61%,3.55%,
138,0.008738938,0.006958558,,1.006958558,1.008738938,-1.93%,4.45%,
139,-0.002048513,0.001898268,,1.001898268,0.997951487,-1.75%,4.24%,
140,-0.00894131,-0.006015623,,0.993984377,0.99105869,-2.34%,3.31%,
141,0.011033198,0.02257546,,1.02257546,1.011033198,-0.13%,4.45%,
142,-0.024028364,-0.018265632,,0.981734368,0.975971636,-1.96%,1.94%,
143,-0.005812769,-0.007660854,,0.992339146,0.994187231,-2.71%,1.35%,
144,-0.011084508,-0.007512247,,0.992487753,0.988915492,-3.44%,0.22%,
145,-0.016243322,-0.023198733,,0.976801267,0.983756678,-5.68%,-1.41%,
146,0.040385939,0.031113097,,1.031113097,1.040385939,-2.74%,2.58%,
147,0.00128776,-0.001863989,,0.998136011,1.00128776,-2.92%,2.71%,
148,0.015327553,0.011472443,,1.011472443,1.015327553,-1.81%,4.28%,
149,0.004225937,0.007862555,,1.007862555,1.004225937,-1.04%,4.72%,
150,-0.00766116,-0.005484668,,0.994515332,0.99233884,-1.58%,3.92%,
151,0.003340223,0.006879136,,1.006879136,1.003340223,-0.90%,4.27%,
152,-0.009626166,-0.007313297,,0.992686703,0.990373834,-1.63%,3.26%,
153,-0.001751182,-0.002276933,,0.997723067,0.998248818,-1.85%,3.08%,
154,-0.016449749,-0.012173433,,0.987826567,0.983550251,-3.05%,1.39%,
155,0.000522883,-0.000985425,,0.999014575,1.000522883,-3.14%,1.44%,
156,0.018765016,0.013559863,,1.013559863,1.018765016,-1.83%,3.34%,
157,0.002554555,0.0012309,,1.0012309,1.002554555,-1.71%,3.61%,
158,-0.009244212,-0.007128448,,0.992871552,0.990755788,-2.41%,2.65%,
159,0.00114266,0.003839664,,1.003839664,1.00114266,-2.04%,2.77%,
160,0.018709462,0.013506944,,1.013506944,1.018709462,-0.71%,4.69%,
161,0.000497835,0.002436207,,1.002436207,1.000497835,-0.47%,4.74%,
162,0.012906952,0.009641633,,1.009641633,1.012906952,0.49%,6.10%,
163,-0.003322763,-0.006082343,,0.993917657,0.996677237,-0.12%,5.74%,
164,0.000800951,0.000482312,,1.000482312,1.000800951,-0.07%,5.83%,
165,-0.008408236,-0.015820572,,0.984179428,0.991591764,-1.65%,4.94%,
166,0.013117009,0.009531946,,1.009531946,1.013117009,-0.72%,6.31%,
167,0.004761471,0.008920816,,1.008920816,1.004761471,0.17%,6.82%,
168,0.000413791,0.00066121,,1.00066121,1.000413791,0.23%,6.86%,
169,-0.007393895,-0.010656995,,0.989343005,0.992606105,-0.83%,6.07%,
170,0.00288615,0.001810665,,1.001810665,1.00288615,-0.65%,6.38%,
171,0.002344609,0.004616558,,1.004616558,1.002344609,-0.20%,6.63%,
172,-0.009993616,-0.008151906,,0.991848094,0.990006384,-1.01%,5.56%,
173,0.016697934,0.02183428,,1.02183428,1.016697934,1.15%,7.33%,
174,0.003339935,0.002060354,,1.002060354,1.003339935,1.36%,7.69%,
175,0.007580814,0.005039625,,1.005039625,1.007580814,1.87%,8.50%,
176,0.007116066,0.004964349,,1.004964349,1.007116066,2.38%,9.27%,
177,0.006146894,0.008266018,,1.008266018,1.006146894,3.22%,9.95%,
178,-0.020528503,-0.014809139,,0.985190861,0.979471497,1.69%,7.69%,
179,-0.007198938,-0.01106998,,0.98893002,0.992801062,0.57%,6.91%,
180,-0.018956213,-0.013869953,,0.986130047,0.981043787,-0.83%,4.89%,
181,-0.005020281,-0.003064363,,0.996935637,0.994979719,-1.13%,4.36%,
182,-0.003589396,-0.0019518,,0.9980482,0.996410604,-1.32%,3.99%,
183,-0.024779781,-0.03341014,,0.96658986,0.975220219,-4.62%,1.41%,
184,0.042717317,0.032650666,,1.032650666,1.042717317,-1.51%,5.74%,
185,0.006775479,0.012150843,,1.012150843,1.006775479,-0.31%,6.46%,
186,0.009816494,0.007404508,,1.007404508,1.009816494,0.43%,7.50%,
187,0.00040542,0.001929749,,1.001929749,1.00040542,0.62%,7.55%,
188,0.022799308,0.01714026,,1.01714026,1.022799308,2.35%,10.00%,
189,0.004549627,0.011201373,,1.011201373,1.004549627,3.49%,10.50%,
190,0.016581245,0.012251392,,1.012251392,1.016581245,4.76%,12.33%,
191,0.002355506,0.007697926,,1.007697926,1.002355506,5.57%,12.59%,
192,0.014619685,0.010870189,,1.010870189,1.014619685,6.72%,14.24%,
193,0.007588039,0.009145851,,1.009145851,1.007588039,7.69%,15.11%,
194,-0.003136991,-0.002599474,,0.997400526,0.996863009,7.41%,14.75%,
195,-0.001151233,-0.000360732,,0.999639268,0.998848767,7.37%,14.61%,
196,0.015514507,0.011692166,,1.011692166,1.015514507,8.63%,16.39%,
197,-0.021221511,-0.03199362,,0.96800638,0.978778489,5.15%,13.92%,
198,0.010172518,0.007394989,,1.007394989,1.010172518,5.93%,15.08%,
199,-0.002838936,-0.002712529,,0.997287471,0.997161064,5.64%,14.75%,
200,0.004652214,0.003385943,,1.003385943,1.004652214,6.00%,15.29%,
201,-0.002214354,-0.006659426,,0.993340574,0.997785646,5.30%,15.03%,
202,-0.008750301,-0.006601958,,0.993398042,0.991249699,4.60%,14.03%,
203,0.000197249,0.000880999,,1.000880999,1.000197249,4.69%,14.05%,
204,-0.027784938,-0.01989256,,0.98010744,0.972215062,2.61%,10.88%,
205,0.001538281,-0.001988237,,0.998011763,1.001538281,2.41%,11.05%,
206,-0.01354686,-0.010357965,,0.989642035,0.98645314,1.35%,9.55%,
207,-0.000579561,-0.001540844,,0.998459156,0.999420439,1.19%,9.48%,
208,0.004596741,0.003283516,,1.003283516,1.004596741,1.52%,9.99%,
209,-0.012976579,-0.014711104,,0.985288896,0.987023421,0.03%,8.56%,
210,0.010418758,0.007569311,,1.007569311,1.010418758,0.79%,9.69%,
211,0.008804119,0.01574504,,1.01574504,1.008804119,2.37%,10.66%,
212,0.02847685,0.021267868,,1.021267868,1.02847685,4.55%,13.81%,
213,0.019432147,0.028213974,,1.028213974,1.019432147,7.50%,16.02%,
214,0.013874413,0.010630749,,1.010630749,1.013874413,8.64%,17.63%,
215,0.013651907,0.023147501,,1.023147501,1.013651907,11.16%,19.23%,
216,0.001158417,0.002305732,,1.002305732,1.001158417,11.41%,19.37%,
217,-0.004295618,-0.004335018,,0.995664982,0.995704382,10.93%,18.86%,
218,0.009751441,0.006738631,,1.006738631,1.009751441,11.68%,20.02%,
219,0.007440152,0.013172895,,1.013172895,1.007440152,13.15%,20.91%,
220,0.012154523,0.009578444,,1.009578444,1.012154523,14.23%,22.38%,
221,-0.005962348,-0.005424966,,0.994575034,0.994037652,13.61%,21.65%,
222,0.030951282,0.021056937,,1.021056937,1.030951282,16.01%,25.42%,
223,0.013484718,0.018154233,,1.018154233,1.013484718,18.11%,27.11%,
224,0.016857055,0.011959213,,1.011959213,1.016857055,19.52%,29.25%,
225,-0.009757588,-0.014238211,,0.985761789,0.990242412,17.82%,27.99%,
226,0.012947349,0.009548827,,1.009548827,1.012947349,18.95%,29.65%,
227,-0.005145585,-0.006156573,,0.993843427,0.994854415,18.21%,28.98%,
228,0.00789881,0.005930116,,1.005930116,1.00789881,18.92%,30.00%,
229,-0.00216424,-0.000350574,,0.999649426,0.99783576,18.87%,29.72%,
230,0.001503596,0.00053685,,1.00053685,1.001503596,18.94%,29.91%,
231,-0.000392023,-0.000817093,,0.999182907,0.999607977,18.84%,29.86%,
232,-0.000113338,2.01E-05,,1.000020123,0.999886662,18.84%,29.85%,
233,0.005980873,0.008586051,,1.008586051,1.005980873,19.86%,30.62%,
234,0.015534083,0.011843371,,1.011843371,1.015534083,21.28%,32.65%,
235,-0.003926635,-0.007710729,,0.992289271,0.996073365,20.35%,32.13%,
236,-0.002308155,-0.00169603,,0.99830397,0.997691845,20.14%,31.83%,
237,-0.003845524,-0.004761,,0.995239,0.996154476,19.57%,31.32%,
238,0.012466586,0.00883584,,1.00883584,1.012466586,20.63%,32.96%,
239,0.004673931,0.007448728,,1.007448728,1.004673931,21.53%,33.58%,
240,0.013405516,0.009651791,,1.009651791,1.013405516,22.70%,35.37%,
241,-0.003772971,-0.004245413,,0.995754587,0.996227029,22.18%,34.86%,
242,-0.037018911,-0.027204269,,0.972795731,0.962981089,18.85%,29.87%,
243,0.006193128,0.006925499,,1.006925499,1.006193128,19.68%,30.67%,
244,0.008599421,0.006550922,,1.006550922,1.008599421,20.46%,31.79%,
245,0.00889571,0.009894969,,1.009894969,1.00889571,21.65%,32.97%,
246,0.007816803,0.005876759,,1.005876759,1.007816803,22.37%,34.01%,
247,1.94E-05,0.000436109,,1.000436109,1.000019378,22.42%,34.01%,
248,-0.000466919,-0.000589664,,0.999410336,0.999533081,22.35%,33.95%,
249,-0.002539996,-0.005535375,,0.994464625,0.997460004,21.67%,33.60%,
250,0.003854915,0.002481943,,1.002481943,1.003854915,21.97%,34.12%,
251,0.008578188,0.009155497,,1.009155497,1.008578188,23.09%,35.27%,
252,0.000770857,0.000767425,,1.000767425,1.000770857,23.19%,35.37%,
253,-0.008423731,-0.011864193,,0.988135807,0.991576269,21.72%,34.23%,
254,0.004570522,0.003055888,,1.003055888,1.004570522,22.10%,34.85%,
255,0.013082306,0.017927129,,1.017927129,1.013082306,24.29%,36.61%,
256,-0.002515639,-0.001796135,,0.998203865,0.997484361,24.06%,36.27%,
257,0.011173309,0.012193091,,1.012193091,1.011173309,25.57%,37.79%,
258,-0.013725997,-0.009975179,,0.990024821,0.986274003,24.32%,35.90%,
259,0.006172836,0.008257691,,1.008257691,1.006172836,25.35%,36.74%,
260,-0.010512795,-0.007810337,,0.992189663,0.989487205,24.37%,35.30%,
261,0.00412323,-0.000245991,,0.999754009,1.00412323,24.34%,35.86%,
262,0.039083852,0.02797922,,1.02797922,1.039083852,27.82%,41.17%,
263,0.004378958,0.006453991,,1.006453991,1.004378958,28.64%,41.79%,
264,0.004159842,0.0029533,,1.0029533,1.004159842,29.02%,42.38%,
265,-0.008420321,-0.008000898,,0.991999102,0.991579679,27.99%,41.18%,
266,-0.009171629,-0.007498503,,0.992501497,0.990828371,27.03%,39.88%,
267,-0.009773024,-0.019135371,,0.980864629,0.990226976,24.60%,38.52%,
